시도코드,시도,간,뇌병변,뇌전증,시각,시도별합계,신장,심장,안면,언어,자폐성,장루.요루,정신,지적,지체,청각,호흡기,위도,경도
32,강원도,1500,27120,666,28257,305142,9720,363,303,2367,2541,2007,9696,25650,148605,44808,1539,37.18281,128.303429
31,경기도,11076,165318,4242,163980,1736004,74712,3885,1899,16290,27465,11226,59658,141885,798537,248211,7620,37.533053,127.180887
38,경상남도,2598,52137,1248,50883,568863,20370,804,603,4725,6891,3213,24000,48270,269733,81036,2352,35.3242,128.261575
37,경상북도,2772,46776,1092,47313,547614,16164,933,591,3924,4269,2694,22416,49953,236736,110037,1944,36.347557,128.748464
24,광주광역시,1158,20397,822,21612,209457,7713,420,189,1713,2940,1158,9510,21906,88380,30660,879,35.155737,126.835435
22,대구광역시,2121,37716,1008,35622,381846,15156,717,429,3444,4098,1875,17985,31512,151833,77091,1239,35.82976,128.565149
25,대전광역시,1074,21579,765,20826,217467,8793,333,225,1809,3390,1221,9663,20535,95976,30426,852,36.339722,127.39402
21,부산광역시,2628,58470,1656,53622,529353,24033,1365,684,4725,6762,3402,24726,37152,231048,76113,2967,35.201635,129.06039
11,서울특별시,7989,120897,3744,123660,1176369,54903,3024,1143,10248,20565,8877,49800,81990,503958,179142,6429,37.551903,126.991805
29,세종특별자치시,207,3387,78,3651,37890,1347,69,39,339,690,240,1362,3444,17529,5340,168,36.560658,127.25878
26,울산광역시,1068,14487,339,14502,153990,6468,522,213,1359,2187,675,4416,13626,69621,23742,765,35.554185,129.237631
23,인천광역시,2184,39756,1224,41253,445938,18717,786,432,4629,5418,2643,14595,33195,203826,75384,1896,37.583944,126.37855
36,전라남도,1800,33486,1134,40863,419604,11547,552,267,3159,2760,2085,17094,37050,205212,61077,1518,34.875799,126.9003
35,전라북도,1464,34851,1278,33564,396171,10458,465,366,3846,2799,1932,16431,37926,188739,60990,1062,35.715742,127.142445
39,제주특별자치도,603,10509,369,12354,110628,4680,225,84,1218,2058,585,3927,10524,42618,20151,723,33.387057,126.553666
34,충청남도,1653,32583,837,36489,404247,11886,606,393,3255,3549,2343,16104,37464,186630,68814,1641,36.528583,126.850305
33,충청북도,1404,25455,729,26409,293517,9738,429,276,2142,2568,1860,11259,32589,135405,42225,1029,36.737887,127.830445
,합계,14433,248308,7077,251620,2644700,102135,5166,2712,23064,33650,16012,104214,221557,1191462,411749,11541,,