연월,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도
2013-01,13236,51452,23658,24597,9324,15449,8550,22921,42718,747,4486,14446,21902,18918,4415,15860,12918
2013-02,13242,51450,23631,24519,9326,15433,8550,22945,42753,748,4478,14483,21887,18909,4421,15868,12926
2013-03,13223,51475,23613,24511,9351,15462,8572,22949,42819,745,4515,14491,21819,18947,4438,15834,12916
2013-04,13239,52068,23628,24468,9380,15509,8598,23000,42979,745,4548,14571,21748,19086,4449,15846,12928
2013-05,13257,52215,23636,24430,9409,15482,8634,23050,43137,742,4557,14618,21692,19080,4440,15883,12937
2013-06,13281,52390,23636,24425,9409,15466,8619,23036,43237,744,4550,14634,21654,19044,4435,15897,12937
2013-07,13261,52516,23634,24370,9430,15480,8638,23082,43321,744,4548,14637,21596,19028,4437,15911,12938
2013-08,13212,52598,23533,24317,9423,15481,8665,23123,43272,745,4551,14656,21524,18939,4439,15854,12909
2013-09,13166,52658,23399,24195,9415,15389,8631,23153,43053,741,4531,14591,21369,18858,4419,15780,12859
2013-10,13172,52553,23321,24103,9411,15344,8604,23162,42879,747,4511,14545,21264,18784,4405,15775,12824
2013-11,13249,52618,23313,24048,9386,15311,8593,23167,42806,806,4506,14561,21207,18694,4410,15747,12794
2013-12,13252,52582,23376,24006,9346,15314,8596,23139,42835,990,4497,14678,21161,18646,4430,15776,12770
2014-01,13226,52548,23374,23930,9348,15291,8605,23119,42760,985,4489,14751,21104,18576,4440,15830,12806
2014-02,13199,52593,23351,23952,9334,15265,8603,23071,42825,991,4492,14793,21069,18594,4426,15813,12794
2014-03,13183,52648,23326,23915,9353,15330,8600,23077,42865,984,4505,14815,21028,18572,4428,15859,12821
2014-04,13141,52751,23275,23947,9339,15337,8621,23062,42952,988,4627,14866,20995,18571,4470,15894,12805
2014-05,13155,52885,23245,23956,9362,15345,8616,23054,42980,982,4651,14903,20968,18529,4530,15929,12825
2014-06,13131,53076,23267,23967,9399,15364,8624,23078,43088,990,4688,14920,20950,18502,4591,15960,12866
2014-07,13100,53267,23275,23986,9413,15334,8642,23013,43129,992,4700,14857,20983,18467,4592,15979,12830
2014-08,13164,54043,23644,24236,9484,15478,8763,23165,43658,1029,4781,15000,21143,18534,4664,16158,12913
2014-09,13359,55730,24162,24820,9644,15831,9031,23582,44429,1076,4873,15348,21491,19009,4757,16654,13181
2014-10,13497,56640,24453,25077,9753,16073,9163,23838,45402,1085,4949,15575,21729,19203,4784,17120,13311
2014-11,13546,57229,24748,25255,9808,16218,9261,24118,45919,1095,5003,15780,21866,19330,4809,17500,13373
2014-12,13739,57923,24949,25466,9862,16397,9361,24290,46603,1114,5110,16004,22049,19473,4865,17782,13427
2015-01,13744,58162,25010,25496,9872,16434,9382,24332,46910,1125,5143,16077,22089,19515,4885,17835,13438
2015-02,13754,58373,25023,25516,9886,16484,9398,24389,47106,1143,5170,16176,22112,19533,4887,17864,13468
2015-03,13727,58758,25052,25459,9948,16558,9408,24470,47354,1153,5200,16288,22077,19516,4898,17919,13529
2015-04,13783,59144,25082,25546,9956,16617,9457,24511,47604,1163,5234,16386,22077,19558,4900,18031,13603
2015-05,13760,59433,25053,25551,9976,16648,9468,24535,47675,1162,5245,16450,21997,19554,4886,17964,13601
2015-06,13908,60062,25253,25725,10023,16804,9559,24646,48141,1184,5341,16557,22077,19732,4935,18073,13760
2015-07,13985,60812,25550,25910,10117,16886,9610,24663,48613,1207,5392,16721,22211,19845,4990,18148,13853
2015-08,14044,61322,25523,25951,10171,16934,9669,24888,48892,1211,5423,16791,22233,19931,5016,18234,13906
2015-09,14049,61871,25568,25994,10176,16996,9720,24938,49042,1226,5443,16874,22218,19992,5039,18256,13947
2015-10,14033,62289,25623,26017,10183,17021,9757,24966,49122,1246,5451,16924,22228,19964,5053,18220,13927
2015-11,14033,62630,25631,26025,10194,17023,9812,24976,49240,1242,5471,16965,22156,19953,5060,18216,13905
2015-12,14019,62712,25641,26028,10165,16990,9809,24940,49266,1254,5466,16952,22104,19960,5084,18169,13885
2016-01,14038,62773,25627,26037,10156,16938,9798,24937,49186,1260,5474,16931,22056,19929,5100,18142,13877
2016-02,14054,62857,25620,26026,10141,16934,9791,24938,49224,1264,5447,16939,22007,19956,5094,18163,13894
2016-03,14038,63069,25633,25994,10176,16979,9806,24940,49344,1277,5467,16987,21933,19984,5089,18217,13933
2016-04,14042,63272,25638,26008,10203,16978,9827,24976,49383,1269,5481,17014,21949,19962,5081,18264,13949
2016-05,14121,63659,25736,26074,10240,17066,9876,25108,49648,1264,5533,17103,21978,19982,5077,18342,13971
2016-06,14145,63958,25780,26107,10295,17135,9888,25143,49938,1276,5581,17185,21997,19983,5101,18379,14020
2016-07,14138,64252,25831,26138,10316,17148,9872,25178,50044,1280,5599,17179,21996,20009,5099,18409,14020
2016-08,14188,64796,26026,26148,10324,17166,9899,25239,50199,1284,5619,17235,22006,20041,5114,18472,14091
2016-09,14210,65388,26061,26156,10323,17171,9920,25275,50246,1291,5650,17247,21993,20029,5105,18457,14135
2016-10,14220,65596,26086,26148,10343,17192,9963,25298,50328,1300,5664,17298,22011,20033,5120,18500,14159
2016-11,14227,65721,26090,26176,10349,17223,9983,25308,50440,1305,5696,17368,22034,20083,5110,18523,14167
2016-12,14242,65759,26142,26188,10343,17250,10011,25313,50468,1316,5739,17396,22074,20109,5125,18495,14191
2017-01,14208,65851,26157,26209,10368,17265,10008,25339,50502,1323,5767,17422,22066,20126,5149,18482,14194
2017-02,14226,65903,26209,26229,10382,17322,10027,25382,50640,1334,5789,17475,22068,20178,5163,18510,14216
2017-03,14259,66319,26279,26295,10410,17401,10053,25438,50847,1334,5816,17519,22120,20204,5180,18626,14238
2017-04,14299,66642,26338,26371,10468,17421,10089,25495,51012,1332,5846,17603,22144,20242,5208,18656,14311
2017-05,14354,66960,26390,26461,10489,17470,10084,25541,51171,1347,5872,17663,22147,20256,5206,18682,14318
2017-06,14407,67268,26464,26525,10482,17495,10135,25592,51268,1346,5902,17741,22171,20288,5236,18732,14348
2017-07,14453,67698,26556,26623,10498,17533,10173,25737,51509,1354,5949,17813,22265,20331,5241,18788,14395
2017-08,14489,68127,26682,26672,10522,17567,10253,25793,51694,1363,6003,17893,22313,20389,5253,18842,14410
2017-09,14469,68488,26772,26703,10529,17581,10242,25841,51801,1376,6022,17954,22318,20415,5250,18921,14436
2017-10,14459,68543,26803,26718,10535,17570,10276,25814,51890,1373,6047,17965,22317,20401,5252,18952,14432
2017-11,14455,68693,26883,26745,10571,17559,10307,25840,51918,1376,6061,18074,22308,20389,5269,19003,14434
2017-12,14473,68670,26923,26709,10533,17538,10310,25839,51927,1376,6045,18100,22284,20426,5262,19108,14463
2018-01,14447,68689,26980,26631,10544,17519,10316,25837,51896,1381,6044,18118,22212,20419,5250,19180,14436
2018-02,14447,68791,26973,26611,10530,17521,10334,25819,51841,1382,6045,18164,22178,20398,5242,19171,14430
2018-03,14421,68983,27003,26621,10550,17490,10332,25807,51981,1383,6054,18200,22181,20383,5237,19174,14432
2018-04,14488,69333,27085,26702,10610,17596,10391,25953,52153,1396,6086,18303,22208,20462,5256,19233,14484
2018-05,14530,69626,27174,26807,10679,17667,10457,26045,52414,1396,6152,18427,22244,20490,5256,19245,14540
2018-06,14556,69730,27202,26819,10695,17680,10505,26112,52543,1392,6155,18458,22243,20498,5240,19211,14552
2018-07,14550,69839,27153,26808,10687,17685,10506,26209,52656,1390,6149,18483,22180,20473,5232,19205,14514
2018-08,14550,70024,27181,26837,10708,17719,10533,26267,52726,1393,6154,18504,22188,20519,5226,19215,14550
2018-09,14565,70208,27213,26884,10692,17752,10534,26330,52746,1405,6181,18511,22199,20526,5225,19247,14556
2018-10,14538,70230,27197,26907,10674,17769,10540,26310,52805,1408,6185,18496,22207,20517,5232,19254,14570
2018-11,14510,70379,27225,26926,10693,17809,10551,26325,52746,1404,6185,18505,22168,20500,5240,19223,14548
2018-12,14475,70412,27182,26920,10679,17810,10551,26346,52685,1408,6178,18530,22136,20444,5223,19194,14539
2019-01,14471,70314,27102,26863,10677,17787,10533,26296,52654,1421,6193,18524,22065,20414,5211,19171,14510
2019-02,14459,70381,27105,26856,10702,17771,10514,26289,52612,1427,6204,18530,22023,20377,5204,19193,14528
2019-03,14496,70498,27101,26853,10750,17780,10538,26284,52650,1434,6206,18563,22030,20407,5215,19197,14535
2019-04,14550,70958,27202,26977,10825,17857,10589,26392,52881,1442,6252,18650,22119,20482,5251,19261,14603
2019-05,14563,71224,27299,27065,10871,17925,10617,26469,53148,1451,6299,18733,22117,20543,5235,19299,14669
2019-06,14550,71414,27361,27097,10882,17954,10615,26478,53275,1458,6309,18780,22153,20537,5222,19253,14678
2019-07,14535,71488,27382,27122,10880,17980,10636,26505,53353,1464,6340,18838,22133,20530,5214,19249,14708
2019-08,14547,71676,27424,27104,10876,18017,10645,26548,53350,1480,6356,18833,22113,20507,5214,19255,14732
2019-09,14553,71816,27448,27183,10907,18034,10653,26594,53395,1490,6365,18869,22139,20502,5211,19286,14737
2019-10,14549,71755,27439,27197,10926,18077,10670,26601,53403,1495,6367,18859,22142,20511,5209,19275,14773
2019-11,14560,71694,27421,27175,10921,18075,10678,26567,53458,1491,6367,18855,22092,20495,5190,19239,14755
2019-12,14560,71660,27389,27137,10892,18078,10681,26512,53394,1493,6358,18853,22080,20448,5193,19217,14771
2020-01,14500,71547,27360,27082,10900,18114,10678,26468,53288,1486,6354,18855,22043,20405,5181,19188,14754
2020-02,14567,72172,27635,27249,10980,18371,10903,26677,53682,1505,6431,19046,22104,20551,5201,19286,14881
2020-03,14643,72609,27740,27353,11038,18442,10958,26748,53969,1511,6472,19154,22206,20582,5243,19353,14981
2020-04,14642,72927,27825,27377,11061,18471,10983,26775,54118,1513,6492,19214,22226,20605,5257,19378,15000
2020-05,14697,73180,27894,27386,11076,18489,11015,26850,54192,1517,6514,19293,22230,20633,5261,19423,15019
2020-06,14690,73406,27914,27387,11076,18503,11054,26925,54353,1521,6544,19317,22240,20623,5307,19456,15042
2020-07,14717,73640,27945,27430,11105,18534,11071,26953,54456,1528,6563,19351,22249,20668,5333,19474,15051
2020-08,14694,73667,27925,27423,11113,18553,11080,26989,54536,1530,6600,19375,22230,20677,5338,19474,15060
2020-09,14718,73799,27965,27449,11116,18547,11092,27050,54538,1532,6612,19421,22222,20675,5363,19503,15071
2020-10,14722,73764,27916,27385,11092,18549,11090,27023,54464,1522,6603,19373,22181,20620,5344,19448,15060
2020-11,14729,73900,27928,27397,11122,18561,11103,27091,54411,1530,6605,19440,22137,20642,5347,19441,15054
2020-12,14693,73808,27887,27314,11095,18552,11083,27061,54267,1535,6600,19415,22088,20585,5327,19396,15053
2021-01,14675,73725,27854,27276,11104,18535,11079,27004,54151,1539,6608,19424,22082,20534,5323,19380,15005
2021-02,14663,73757,27785,27254,11094,18529,11061,26933,54069,1530,6611,19406,22041,20538,5313,19387,14983
2021-03,14644,73923,27806,27189,11075,18574,11034,26887,54001,1543,6612,19350,22009,20524,5325,19419,15012
2021-04,14588,73874,27756,27130,11081,18539,11013,26892,53925,1546,6595,19379,21985,20492,5326,19399,14997
2021-05,14577,73721,27712,27114,11086,18523,11007,26861,53775,1545,6583,19323,21948,20436,5314,19366,14953
2021-06,14532,73694,27700,27092,11075,18536,10985,26801,53633,1539,6597,19268,21944,20400,5301,19354,14942
2021-07,14491,73628,27645,27084,11066,18508,10988,26764,53587,1542,6601,19278,21906,20388,5299,19304,14917
2021-08,14468,73740,27649,27098,11087,18500,11001,26749,53605,1547,6611,19299,21874,20365,5286,19313,14901
2021-09,14461,73674,27639,27056,11085,18469,11005,26769,53510,1544,6581,19296,21826,20335,5271,19307,14879
2021-10,14405,73581,27593,26988,11061,18439,11007,26742,53399,1537,6565,19253,21768,20304,5273,19313,14888
2021-11,14364,73518,27588,26948,11054,18411,10994,26728,53365,1529,6572,19217,21740,20280,5244,19296,14899
2021-12,14358,73456,27548,26913,11063,18421,10973,26702,53232,1521,6582,19230,21728,20291,5248,19249,14898
2022-01,14326,73298,27491,26838,11047,18403,10951,26612,53039,1527,6584,19221,21705,20221,5235,19192,14869
2022-02,14326,73189,27462,26819,11012,18348,10951,26595,53016,1519,6583,19239,21703,20189,5220,19152,14852
2022-03,14242,72931,27344,26759,10972,18231,10904,26415,52757,1513,6544,19138,21612,20109,5203,19082,14768
2022-04,14137,72582,27198,26586,10925,18105,10864,26240,52439,1507,6500,19029,21477,19994,5174,18987,14674
2022-05,14102,72379,27186,26538,10923,18056,10846,26192,52413,1516,6479,18996,21444,19954,5181,18977,14664
2022-06,14087,72276,27169,26457,10908,18025,10845,26161,52343,1526,6458,18978,21405,19911,5177,18949,14626
2022-07,14103,72289,27144,26421,10925,18022,10843,26168,52300,1521,6445,19025,21368,19925,5163,18916,14588
2022-08,14106,72334,27184,26404,10913,17994,10846,26221,52279,1522,6447,19029,21339,19908,5160,18931,14589
2022-09,14068,72300,27113,26330,10861,17939,10819,26092,52006,1523,6428,18993,21240,19840,5132,18881,14540
2022-10,14073,72398,27140,26336,10862,17965,10826,26143,52053,1519,6430,19021,21236,19853,5149,18869,14542
2022-11,14007,72037,27029,26227,10857,17932,10784,26116,51810,1498,6414,18967,21171,19741,5129,18803,14499
2022-12,13960,71783,26969,26151,10850,17907,10740,26089,51661,1498,6390,18970,21116,19703,5128,18749,14463
2023-01,13910,71641,26845,26093,10841,17896,10734,26037,51551,1492,6377,18922,21067,19630,5134,18687,14403
2023-02,13882,71576,26802,26041,10819,17867,10744,25992,51461,1483,6376,18909,21041,19566,5112,18629,14385
